ID,MINA,UF,MUNICIPIO,LATITUDE,LONGITUDE,RISCO
3685,Nome da mina não informado,MT,POCONÉ,-16.215833333333332,-56.604305555555555,Média
3687,Nome da mina não informado,MT,POCONÉ,-16.214416666666665,-56.60594444444445,Média
5405,Nome da mina não informado,AP,FERREIRA GOMES,1.0019722222222223,-51.12888888888889,Média
5863,Mina do Queias,MG,BRUMADINHO,-20.122972222222224,-44.31258333333333,Alta
5865,Mina do Queias,MG,BRUMADINHO,-20.11936111111111,-44.31594444444444,Alta
5866,Mina do Queias,MG,BRUMADINHO,-20.117583333333332,-44.317194444444446,Alta
7471,Nome da mina não informado,AP,PEDRA BRANCA DO AMAPARI,0.8008358333333334,-51.87452583333334,Média
8179,Nome da mina não informado,SE,ROSÁRIO DO CATETE,-10.653444444444444,-37.03058333333333,Baixa
8180,Complexo Mínero-Químico de Taquari-Vassouras,SE,ROSÁRIO DO CATETE,-10.657833333333334,-37.02983333333333,Baixa
8181,Nome da mina não informado,SE,ROSÁRIO DO CATETE,-10.657333333333334,-37.03133333333333,Baixa
8182,Nome da mina não informado,BA,SANTALUZ,-11.003444444444444,-39.28702777777777,Baixa
8183,Nome da mina não informado,BA,SANTALUZ,-11.003638888888888,-39.30083333333333,Baixa
8184,Serra Norte,PA,PARAUAPEBAS,-6.099444444444444,-50.1625,Baixa
8185,Serra Norte,PA,PARAUAPEBAS,-5.994793333333333,-50.10948166666667,Baixa
8186,Serra Norte,PA,PARAUAPEBAS,-5.979277777777778,-50.141416666666665,Baixa
8187,Serra Norte,PA,PARAUAPEBAS,-6.108138888888888,-50.16905555555555,Baixa
8188,Nome da mina não informado,PA,PARAUAPEBAS,-6.046821111111111,-50.142919166666665,Baixa
8189,Nome da mina não informado,PA,PARAUAPEBAS,-6.056853611111111,-50.14378,Baixa
8190,Nome da mina não informado,PA,SÃO FÉLIX DO XINGU,-6.831527777777778,-51.991,Média
8193,Manganês Azul,PA,PARAUAPEBAS,-6.078138888888889,-50.29147222222222,Baixa
8194,Manganês Azul,PA,PARAUAPEBAS,-6.112728611111111,-50.308589166666664,Baixa
8195,Unidade operacional de Catalão,GO,CATALÃO,-18.112583333333333,-47.78447222222222,Baixa
8196,Unidade de catalão,GO,CATALÃO,-18.10531388888889,-47.77976666666667,Baixa
8198,MINA FÁBRICA NOVA,MG,MARIANA,-20.207473055555553,-43.45439972222223,Baixa
8199,MINA FÁBRICA NOVA,MG,MARIANA,-20.184531944444444,-43.43761361111111,Baixa
8200,MINA ALEGRIA,MG,MARIANA,-20.159307499999997,-43.46931083333334,Baixa
8204,Timbopeba,MG,OURO PRETO,-20.270514444444444,-43.49623527777778,Baixa
8206,Fazendão,MG,CATAS ALTAS,-20.105474444444447,-43.40418222222222,Baixa
8207,TIMBOPEBA,MG,OURO PRETO,-20.290448611111113,-43.49052777777778,Alta
8209,ALEGRIA,MG,MARIANA,-20.176068055555557,-43.487316666666665,Média
8210,Fazendão,MG,MARIANA,-20.139289722222223,-43.41233305555556,Alta
8216,Mina de Mar Azul,MG,NOVA LIMA,-20.05825,-43.964083333333335,Baixa
8217,Mina de Mar Azul,MG,NOVA LIMA,-20.06113888888889,-43.961333333333336,Baixa
8218,Mina da Bocaina,MG,ARCOS,-20.316561111111113,-45.58316111111112,Baixa
8219,Mina da Bocaina,MG,ARCOS,-20.31343888888889,-45.57745555555556,Baixa
8220,Mina Jangada,MG,BRUMADINHO,-20.108272777777778,-44.07366777777778,Baixa
8249,Mina de Mar Azul,MG,NOVA LIMA,-20.039333333333335,-43.929138888888886,Baixa
8253,Nome da mina não informado,BA,SANTALUZ,-11.260280555555555,-39.35756111111111,Média
8254,Nome da mina não informado,BA,SANTALUZ,-11.260519444444444,-39.35755555555556,Média
8255,Nome da mina não informado,BA,SANTALUZ,-11.26008888888889,-39.35758333333334,Média
8256,Nome da mina não informado,MG,NOVA LIMA,-20.110016666666667,-43.90324722222222,Média
8262,Nome da mina não informado,MG,CARANAÍBA,-20.903388888888887,-43.803888888888885,Média
8267,Mina Fontanella,SC,TREVISO,-28.49211111111111,-49.46027777777778,Baixa
8268,Mina Fontanella,SC,TREVISO,-28.49413888888889,-49.46002777777778,Baixa
8269,Nome da mina não informado,PA,OURILÂNDIA DO NORTE,-6.580472222222222,-51.077083333333334,Baixa
8271,Nome da mina não informado,PA,SÃO FÉLIX DO XINGU,-6.558737777777778,-51.17782888888889,Baixa
8272,Nome da mina não informado,PA,SÃO FÉLIX DO XINGU,-6.5559569444444445,-51.17348277777778,Baixa
8276,Mina de Fábrica,MG,CONGONHAS,-20.426000000000002,-43.88597222222222,Média
8279,Mina de Fábrica,MG,CONGONHAS,-20.425833333333333,-43.891777777777776,Baixa
8280,Nome da mina não informado,MG,BELO HORIZONTE,-20.025280555555554,-44.013527777777774,Baixa
8281,Nome da mina não informado,MG,CONGONHAS,-20.43402777777778,-43.882333333333335,Baixa
8282,Galinheiro,MG,ITABIRITO,-20.196583333333333,-43.86708333333333,Baixa
8283,Mina Fábrica ,MG,OURO PRETO,-20.406055555555554,-43.85572222222223,Alta
8286,Mina de Fabrica,MG,OURO PRETO,-20.408277777777776,-43.85180555555556,Alta
8287,Nome da mina não informado,PA,SÃO FÉLIX DO XINGU,-6.58036111111111,-51.174166666666665,Baixa
